"Year","fuel","scenario","value"
2050,"Petroleum","Reference case MMmt CO2",2111.038086
2049,"Petroleum","Reference case MMmt CO2",2101.270264
2048,"Petroleum","Reference case MMmt CO2",2094.972656
2047,"Petroleum","Reference case MMmt CO2",2083.395264
2046,"Petroleum","Reference case MMmt CO2",2070.833008
2045,"Petroleum","Reference case MMmt CO2",2059.556396
2044,"Petroleum","Reference case MMmt CO2",2051.347412
2043,"Petroleum","Reference case MMmt CO2",2044.308716
2042,"Petroleum","Reference case MMmt CO2",2035.827393
2041,"Petroleum","Reference case MMmt CO2",2032.776855
2040,"Petroleum","Reference case MMmt CO2",2029.045044
2039,"Petroleum","Reference case MMmt CO2",2026.537231
2038,"Petroleum","Reference case MMmt CO2",2026.118896
2037,"Petroleum","Reference case MMmt CO2",2026.019043
2036,"Petroleum","Reference case MMmt CO2",2024.073853
2035,"Petroleum","Reference case MMmt CO2",2030.066284
2034,"Petroleum","Reference case MMmt CO2",2042.553467
2033,"Petroleum","Reference case MMmt CO2",2050.004883
2032,"Petroleum","Reference case MMmt CO2",2063.022949
2031,"Petroleum","Reference case MMmt CO2",2076.007812
2030,"Petroleum","Reference case MMmt CO2",2088.672607
2029,"Petroleum","Reference case MMmt CO2",2108.316162
2028,"Petroleum","Reference case MMmt CO2",2128.266602
2027,"Petroleum","Reference case MMmt CO2",2143.183105
2026,"Petroleum","Reference case MMmt CO2",2164.428711
2025,"Petroleum","Reference case MMmt CO2",2187.198486
2024,"Petroleum","Reference case MMmt CO2",2215.989258
2023,"Petroleum","Reference case MMmt CO2",2247.711182
2022,"Petroleum","Reference case MMmt CO2",2277.028076
2021,"Petroleum","Reference case MMmt CO2",2293.691406
2020,"Petroleum","Reference case MMmt CO2",2330.301758
2019,"Petroleum","Reference case MMmt CO2",2401.866211
2018,"Petroleum","Reference case MMmt CO2",2392.910889
2017,"Petroleum","Reference case MMmt CO2",2343.404297
2050,"Petroleum","High economic growth MMmt CO2",2323.050293
2049,"Petroleum","High economic growth MMmt CO2",2304.187256
2048,"Petroleum","High economic growth MMmt CO2",2287.669189
2047,"Petroleum","High economic growth MMmt CO2",2272.961182
2046,"Petroleum","High economic growth MMmt CO2",2256.731201
2045,"Petroleum","High economic growth MMmt CO2",2243.867676
2044,"Petroleum","High economic growth MMmt CO2",2231.381104
2043,"Petroleum","High economic growth MMmt CO2",2212.614014
2042,"Petroleum","High economic growth MMmt CO2",2196.083008
2041,"Petroleum","High economic growth MMmt CO2",2186.59668
2040,"Petroleum","High economic growth MMmt CO2",2170.695557
2039,"Petroleum","High economic growth MMmt CO2",2161.6875
2038,"Petroleum","High economic growth MMmt CO2",2154.52417
2037,"Petroleum","High economic growth MMmt CO2",2143.04248
2036,"Petroleum","High economic growth MMmt CO2",2131.351318
2035,"Petroleum","High economic growth MMmt CO2",2125.146973
2034,"Petroleum","High economic growth MMmt CO2",2125.601318
2033,"Petroleum","High economic growth MMmt CO2",2132.278564
2032,"Petroleum","High economic growth MMmt CO2",2135.171143
2031,"Petroleum","High economic growth MMmt CO2",2140.409912
2030,"Petroleum","High economic growth MMmt CO2",2146.710938
2029,"Petroleum","High economic growth MMmt CO2",2164.602783
2028,"Petroleum","High economic growth MMmt CO2",2177.749268
2027,"Petroleum","High economic growth MMmt CO2",2187.439941
2026,"Petroleum","High economic growth MMmt CO2",2206.276367
2025,"Petroleum","High economic growth MMmt CO2",2226.107422
2024,"Petroleum","High economic growth MMmt CO2",2247.474609
2023,"Petroleum","High economic growth MMmt CO2",2274.163086
2022,"Petroleum","High economic growth MMmt CO2",2301.01416
2021,"Petroleum","High economic growth MMmt CO2",2310.754639
2020,"Petroleum","High economic growth MMmt CO2",2340.601562
2019,"Petroleum","High economic growth MMmt CO2",2412.393799
2018,"Petroleum","High economic growth MMmt CO2",2392.975098
2017,"Petroleum","High economic growth MMmt CO2",2343.404297
2050,"Petroleum","Low economic growth MMmt CO2",1842.403442
2049,"Petroleum","Low economic growth MMmt CO2",1841.97937
2048,"Petroleum","Low economic growth MMmt CO2",1843.94104
2047,"Petroleum","Low economic growth MMmt CO2",1843.865967
2046,"Petroleum","Low economic growth MMmt CO2",1845.759888
2045,"Petroleum","Low economic growth MMmt CO2",1852.266602
2044,"Petroleum","Low economic growth MMmt CO2",1854.693237
2043,"Petroleum","Low economic growth MMmt CO2",1862.021851
